jzDXtd0__DM,180.54,5410
C7sabT8febk,113.52000000000001,3404
RKUEXxnXrm8,148.1,4438
zb2YYXs4gtw,206.22,6180
tIAdhrfT70I,153.65,2304
QY-2lN9zwho,140.69,4214
PKdQIdYuXo8,116.31,3490
eqWQOAjF4-k,23.66,708
Z_1Zoc6lINU,210.6,6308
1aRRlW0k-_4,93.3,2332
UW1wC80VNd8,123.76,3648
-C1nnsyw7R0,133.56,8002
9ddD5Ob93J0,112.45,3367
3Rc2pPAQ-Cs,129.4,3863
fLCWIE8a4AU,70.61,2104
Zev1KxIua7o,168.36,4209
rpDBtiySZ3o,33.97,1016
1ILXipBgbTs,60.35,1507
moqRG7uwZ4Q,103.78999999999999,3110
FIzlf7jdsUY,149.61,4482
KzK4sf7RmRM,147.24,4411
0D9EmyHxhcg,194.49,5827
0bbL30qENMg,201.99,3029
TdNiQsZNJTU,198.23,5944
XyZoiuga6vw,49.5,1483
hJI5PEg2UuA,92.6,2220
_n0cR3Oshxg,218.36,6544
v7OW60YncY4,136.93,4101
UtErhcCYBZk,148.86,4464
UZBHdQZc0ZM,133.21,3992
5MfhJjbNNJE,48.9,586
ZoKZTceDTLA,164.88,4947
DAd-joUpMIk,100.4,2407
SLv4rEkiYaU,74.05,2205
NogC2IkaaAI,14.42,433
GMwV9roiBYo,166.44,4993
sZf6ijFwPDs,82.76,2477
K-PpTJmmjhA,208.52,4999
c0Cn3HFXpLs,139.37,4180
bF55ewgaJLA,201.25,6037
sFQ343Qq4TE,105.42,3158
bmf7otW5TQo,84.06,2519
TDwSu2nfSXw,113.27000000000001,3394
J_SD_hhGET8,234.92000000000002,3523
4fw4nswO748,64.02,1600
JXvPFMjtbcw,227.18,6814
wZ-teiWX4mg,115.87,3457
DozJpP2cClI,118.68,3555
gnVupEzu59g,193.38,5793
8v4NoUJMssI,55.15,1322
KfX3APC8lp4,15.72,472
yJ5zO0T9jgk,152.21,4560
2tpwfPdSEVo,204.75,6139
mQ9e5RyHE_k,112.36,2809
OOcsprnRCQQ,183.48,5499
bjYah4IvnII,62.74,1880
F3tKnLz9YyE,22.96,343
XPcBV3UatRI,61.07,1220
OqajYZVt1Wc,75.7,1714
ACnOpQNrhqs,189.24,5671
zLbSEo4xhVY,160.15,4799
JksdZ0YMkoQ,127.66,3811
TvlCdfubl9Y,25.05,626
lHVn-5OwXMw,184.41,4584
Rx9SIyFMfcY,160.31,4004
fppEk17hs8M,36.8,1104
lzQwtmUrSK4,209.12,5011
zrwpgILg7VI,159.75,4758
_3hVtPVXTmg,45.95,1373
huI9TvxZxmM,107.28,3215
rSTXxDLYxTQ,214.74,5365
Cx1614E1Mgk,122.21,3662
bRXOj9Jm1_E,188.38,5651
6aHGUTy1iho,81.85,2453
Yp9DBq34bFQ,81.57,2443
g-Egl6eXlX4,176.01,4399
f-r9g_-5huM,39.71,990
Az7bzVcLMSM,184.39,5527
KAbo60mowhw,219.87,6587
x75wqBUD3zo,144.57,4334
lJRwUE12drE,87.86,2633
E7NTSqMgx44,18.81,562
jbh_K0yyJFo,23.66,708
uzgIBU9arcU,25.4,734
50oy8wP2Wo8,95.9,2872
yFOZHa2pn1g,178.38,4458
A1U24_iC6ww,91.05,2727
qpdREcmjhUw,44.51,1332
ZeN0mrRQHg8,127.64,3829
f4983HmCNiM,119.58,2989
7_5VT6QCqNI,184.02,4601
hrpRVbLRoJ4,203.15,6088
vWz90CichbM,77.97,1949
T4g31MwZ2ds,150.05,3751
YEZrwxz0Ysk,131.98,3165
7OTqYfUuAIw,31.49,944
gzyu1S2LNIw,90.49,2262
deU1mGcNh1Q,33.53,837
OqoUemFpetc,140.2,3361
Ht2gV7oaqbo,5.21,156
FBtrv1Vg8hU,80.62,2416
j30ZbXEi8sc,207.96,4149
UvuXGKesWS0,102.78999999999999,3079
hs81dVKvvdw,115.66,3467
PFYk8lhE7-0,32.67,979
vw64k9rIi_g,15.39,460
tgnyGoKM2tM,130.4,3905
jGoW5WVAtX4,97.11,2910
DpoIgaZ1m_U,216.57,6489
gXKGS1N3zuM,151.16,3624
AWAMhmc08Cw,140.76,4221
K8W0PtyPlD4,113.38,3398
PV5Y3NeR5yQ,191.24,4778
zCcUwVzaEac,125.48,3137
lPYV3qFuXOI,145.5,3636
RHfjDkr6mcc,135.6,3998
5laHmakSAAg,182.76,5476
Y9wrTRY3mUI,228.72,6852
Dys_KC7uIzs,234.27,7018
QCcueK6xiZ4,73.05,2192
EeUkryzfwYk,139.67000000000002,4184
NVWk38z7f4U,226.12,5651
e5VrEH2X8LI,93.9,2251
0UR4hXxt68E,207.84,4987
cDV1vDdAT1w,60.09,1502
6SFW4g4UVKI,32.68,817
5KEq4f4dGto,188.96,5663
HUzoMRdSrZo,85.89,2147
5ZmZr2bguy0,43.51,1305
PWriIL3pTWY,98.47999999999999,2954
o1WPnnvs00I,229.85,6887
