-xbTvALWCIg,455.02,10908
8X2wDyjl6T8,46.0,1377
bczCfVC6HYU,201.42000000000002,5035
aMtZQgH_MRc,163.02,4889
RV0_DWkbjx8,135.88,4072
bFoIJCDEqGw,326.36,9779
LDig6UT8uWw,110.27000000000001,3302
umlod2kf3K8,601.48,15037
1IE3Z0wBnLU,245.22,7346
EzGGJLGgSl8,353.98,10607
qPSqTqkHhGg,292.29,8758
WAevYUItUAY,161.17000000000002,3863
-sGB6sywcU4,109.2,3270
PPWGxMrCKHo,76.07,2278
a3ZvOvo49WE,604.42,18111
SHGY7kKeLq8,233.18,5596
rAvuiOAC-V8,196.42000000000002,5885
7oyGV_6UBJs,297.24,7130
shG7q7jqfsY,108.37,3246
zYMelEXKars,187.97,5629
JeLdTWqLUY0,186.97,5606
BFpJtwAG-8A,256.06,7674
Eci1mvWcQuI,130.26,3902
ffoRmenLSLs,169.55,4068
VmxFWJkYAqk,446.06,11150
1dIa_dJUxro,230.07999999999998,6895
hnxHxJ1BKXA,331.98,7959
TeB5y-QmIHY,209.44,5019
D7KJVZ5vTQs,334.37,10018
M6gouTbPn70,312.98,7822
cgtskudIpvg,92.02000000000001,2753
DrM_ZiRvIro,526.14,15767
rJEqWRMZLNY,234.7,7034
vTE9fobspEw,159.01,3810
9CUkuWWVSjE,593.58,17788
DzbWIioCb74,298.82,7470
BK80fNF9ysI,305.99,9168
jY6HcQVqLgw,227.36,6814
B09O9Nfwm_s,160.62,4015
POgIE_9QuYA,393.0,9422
TOle-ziRKN4,500.67,15002
qqiJM4fV074,159.09,4772
_5T4SAo7S-E,456.68,13697
-jZ_U3neOcI,155.6,4660
5IL3Zl6rUu4,613.98,15349
fSY-uG_uayI,715.08,21430
u7xQLvrmRUg,89.56,2686
PqyqB_FkWrQ,328.05,9831
pOP5Zzm19kc,300.58,9006
lMNneVHjxk8,327.05,9800
BrtC6jhKBp0,257.28,7710
QqepsJSi5fs,351.02,8773
-sQXBqu-_1w,406.5,10161
_b5ZFYRGFDg,440.86,13211
EA4EWlv6HUM,263.32,7896
91Fz5ZBgeL4,220.45,6601
dqksjDlrqq8,470.54,11763
gbkXkxwlYjw,410.34000000000003,12296
RBsbedWWmUI,377.65,11326
SzapdQ4U1pA,404.5,12123
64x2_RvBOa0,282.48,8465
ID2ct1TlVuk,275.87,8267
dI2WtKv1t_o,568.24,17044
TyR6QO1pVCo,297.42,8913
_SYj8e0ghqA,520.71,15618
_Fr7cxZOjI4,279.48,6699
l2E5jHfAENY,341.01,10217
eggntdifVXE,527.96,12657
GLYC8yfRSzE,211.19,5062
yLJMpYQg_gA,365.1,10941
aKgeBCbVGgQ,343.36,10289
olwrZ-zMOqU,614.06,18403
01lB162koHA,358.7,8966
HJBQ-NgQ9T0,455.74,10926
_7biIt2WwFA,240.9,6021
YUWG15N2yW4,402.47,12060
_D7bcfuVq54,105.9,3175
lrx9H0-W2Kk,206.52,6184
